,fold_0,fold_1,fold_2,fold_3,fold_4,mean_imp
SIGNED_VOLUME_3,0.0012829769508469814,0.0018828103304637245,0.0005637322965843294,0.0010163843376839953,0.0018272702027214982,0.0013146348236601057
SIGNED_VOLUME_4,0.0006303804498750121,0.000519300194390393,0.00019439044709809172,0.00015828936406555582,0.0003221327409053121,0.0003648986392668729
SIGNED_VOLUME_5,0.0009552901971674466,0.0013940572063315226,5.55401277423262e-05,-9.164121077475107e-05,0.0015523465703971228,0.0007731185781727335
SIGNED_VOLUME_6,-8.608719800055065e-05,0.0013662871424603763,0.0003249097472924456,0.000263815606775919,-0.0001721743960011124,0.00033935018050541555
SIGNED_VOLUME_7,0.0007275756734240413,0.00211330186059423,0.00014440433213001037,0.000852540960844217,0.0007858928075534677,0.0009247431269091933
SIGNED_VOLUME_8,0.0010858094973618337,-0.00011108025548461908,-0.00020549847264642596,0.0006609275201333364,0.0002915856706470543,0.0003443487920022359
SIGNED_VOLUME_9,0.0006498194945848245,0.0004720910858094562,-0.00021938350458201584,0.00023326853651768343,-0.0001916134407109027,0.00018883643432380913
SIGNED_VOLUME_10,0.0004415440155512096,0.0006137184115522998,8.331019161378351e-06,2.2216051096946023e-05,-2.4993057484012927e-05,0.00021216328797556415
SIGNED_VOLUME_11,0.001071924465426266,0.0011941127464592638,-0.000155512357678389,0.000327686753679568,9.997222993612942e-05,0.0005076367675645677
SIGNED_VOLUME_12,0.0005387392391002388,0.0006553735073590139,-0.00028603165787276507,4.9986114968092465e-05,0.000780338794779234,0.0003476811996667628
SIGNED_VOLUME_13,0.00033601777284086864,0.0006276034434878674,0.0008386559289086937,0.00010830324909749667,0.0004248819772285639,0.00046709247431269807
SIGNED_VOLUME_14,0.0008803110247153412,0.0005942793668424984,3.610108303251369e-05,0.00014718133851711058,0.00014995834490418857,0.0003615662316023305
SIGNED_VOLUME_15,0.000763676756456566,0.00041099694529291855,-0.00037767286864757164,0.00012496528742018677,1.9439044709823607e-05,0.0001882810330463847
SIGNED_VOLUME_16,0.0005526242710358287,0.00041377395168002985,3.0547070258302164e-05,0.00030269369619554396,0.0003610108303249149,0.0003321299638989239
SIGNED_VOLUME_17,0.0002304915301305166,8.331019161300634e-06,0.0010136073312969173,2.7770063871190855e-05,0.0008053318522632802,0.0004171063593446411
SIGNED_VOLUME_18,5.83171341294042e-05,0.0004998611496806026,0.00017495140238826812,5.276312135521488e-05,1.3885031935578773e-05,0.00015995556789781372
SIGNED_VOLUME_19,0.00036934184948624884,0.0009191891141349107,0.0002110524854207707,0.0005776173285198972,0.00017772840877536833,0.0004509858372674391
AVG_DAILY_TURNOVER,0.0002110524854207152,0.00014162732574281024,5.55401277423373e-05,-6.10941405164933e-05,-0.00016106637045263384,3.721188558734711e-05
AVERAGE_PERF_2,0.00180505415162453,0.0007636767564565217,0.0015551235767842786,0.0006276034434879562,0.0007386836989725198,0.0010980283254651614
AVERAGE_PERF_3,0.0009941682865870604,0.0007386836989724532,0.0006414884754235462,8.053318522633912e-05,0.00029991668980839937,0.0005509580672035597
AVERAGE_PERF_4,0.0007303526798111526,0.0005470702582615506,8.886420438771747e-05,4.165509580676963e-05,0.00014718133851709947,0.0003110247153568579
AVERAGE_PERF_5,0.0008247708969730594,0.0007970008331018797,0.0001138572618717415,-6.942515967786055e-05,-8.33101916132284e-06,0.00033157456262149947
